Titre,Statut,Texte Facebook,Image URL
01 - Présentation des 3 Domaines AVS,À valider,"Agro Véto Services Congo (A.V.S.) ouvre officiellement son espace de communication à Pointe-Noire.

Notre complexe est structuré autour d'une architecture intégrée unique en République du Congo, articulée en trois pôles d'excellence :

1. Le Domaine VÉTO : productions animales (poussins Cobb 500, poulettes Lohmann Brown, porcs), provenderie industrielle certifiée, clinique vétérinaire ouverte 24h/24 et 7j/7, pharmacie et laboratoire bromatologique.
2. Le Domaine AGRO : cultures vivrières, maraîchage périurbain intensif, équipements d'irrigation goutte-à-goutte, transformation agroalimentaire et bio-cosmétique naturelle (savonnerie SAF).
3. Le Domaine SERVICES : management QHSE et formule exclusive « QHSE Partagé » pour les PME, audits HACCP et ISO, fermes-écoles d'expérimentation, formations certifiantes et études de faisabilité.

Notre mission : bâtir une agriculture moderne, sécuriser la santé animale et hisser les entreprises vers les standards internationaux de qualité.

Siège social : Quartier Socoprise, Avenue Nelson Mandela, Rue Bissoute — Pointe-Noire.
Téléphone : +242 05 633 70 50 | WhatsApp : +242 06 967 75 67
Site web : https://agrovetoservices.cg

#AgroVetoServices #PointeNoire #Congo #DomaineAgro #DomaineVeto #DomaineServices",https://agrovetoservices.cg/images/hero_agropastoral.webp
02 - Direction Médicale & Management QHSE,À valider,"Une direction scientifique et technique au service du terrain congolais.

Agro Véto Services Congo est fondé et dirigé par le Dr Marie-Rose Edwige Rakié POUTYA SAIZONOU, Médecin Vétérinaire Praticienne et Spécialiste certifiée en Management de la Qualité, Hygiène, Sécurité et Environnement (QHSE).

Forte d'une double compétence en médecine vétérinaire et en management des normes internationales dans l'industrie, le Dr POUTYA a conçu AVS Congo pour apporter des solutions concrètes aux producteurs et aux entreprises :
- Sécuriser les investissements agropastoraux par la maîtrise sanitaire et nutritionnelle.
- Accompagner les PME agroalimentaires vers la conformité HACCP, ISO 22000 et ISO 9001.
- Former les jeunes et les éleveurs aux gestes techniques professionnels dans nos fermes-écoles.

""La santé animale, la qualité nutritionnelle et la conformité environnementale sont indissociables. C'est cette synergie qui garantit la rentabilité de nos exploitations."" — Dr Marie-Rose Edwige POUTYA SAIZONOU.

#VeterinaireCongo #DirectionTechnique #PointeNoire #SanteAnimale #QHSE #AVSCongo",https://agrovetoservices.cg/images/dr_poutya.jpg
03 - Pôle Véto : Clinique d'Urgence 24h/24 & 7j/7,À valider,"Domaine VÉTO — Une clinique vétérinaire ouverte en continu à Pointe-Noire.

Les urgences médicales et chirurgicales n'attendent pas. Que vous soyez éleveur confronté à une pathologie aiguë sur votre cheptel ou propriétaire d'un animal de compagnie en détresse, notre clinique de Socoprise ne ferme jamais ses portes.

Nos prestations cliniques 24/7 :
- Prise en charge d'urgence jour et nuit, dimanches et jours fériés.
- Consultations de médecine générale et spécialisée.
- Bloc chirurgical équipé (chirurgies des tissus mous, césariennes, traumatologie, stérilisations).
- Pharmacie vétérinaire de garde immédiatement accessible.
- Visites sanitaires d'urgence sur exploitation.

En cas de détresse de votre animal, ne tardez pas.
Ligne d'urgence 24/7 : +242 05 633 70 50
Adresse : Socoprise, Rue Bissoute — Pointe-Noire.

#DomaineVeto #CliniqueVeterinaire #Urgence247 #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/about-1.webp
04 - Pôle Véto : Poussins Cobb 500 & Poulettes Lohmann Brown,À valider,"Domaine VÉTO — Productions animales et génétique de haute performance.

La rentabilité d'une exploitation avicole commence par le choix de poussins d'un jour rigoureusement sélectionnés et certifiés.

Agro Véto Services Congo fournit aux aviculteurs deux souches d'excellence mondiale adaptées aux réalités tropicales :

1. Poussins de chair Cobb 500 certifiés :
- Vitesse de croissance rapide (poids commercial atteint en 38 à 42 jours).
- Excellent indice de conversion alimentaire.
- Robustesse et vigueur dès le démarrage en poussinière.

2. Poulettes pondeuses Lohmann Brown :
- Potentiel de ponte supérieur à 320 œufs par an.
- Coquille solide et remarquable persistance de ponte.

Tous nos lots sont accompagnés de fiches techniques et de protocoles de prophylaxie vaccinale adaptés au département du Kouilou.

Réservations pour les prochains arrivages : +242 06 967 75 67 (WhatsApp).

#DomaineVeto #PoussinsCobb500 #LohmannBrown #AvicultureCongo #PointeNoire",https://agrovetoservices.cg/images/cobb500.webp
05 - Pôle Véto : Provenderie Certifiée AVS,À valider,"Domaine VÉTO — Provenderie industrielle certifiée AVS Congo.

L'alimentation représente jusqu'à 70 % des charges d'un élevage. Une provende mal dosée provoque des carences minérales, des retards de croissance et des mortalités.

L'unité de fabrication industrielle d'AVS Congo produit des aliments complets et équilibrés avec des teneurs garanties en protéines brutes, énergie, calcium et acides aminés essentiels :

- Gamme Volaille Chair : Démarrage haute énergie (21,5 % de protéines), Croissance performance et Finition carcasse ferme.
- Gamme Pondeuse : Pré-ponte et Aliment ponte enrichi en calcium pour la solidité de la coquille.
- Gamme Porcine : Porcelet premier âge, Croissance et Engraissement.
- Rations équilibrées pour petits ruminants et alimentation piscicole.

Nos matières premières locales sont systématiquement contrôlées avant fabrication.

Disponible au détail et en gros avec conditions avantageuses pour les fermes partenaires.
Magasin : Socoprise, Rue Bissoute — Pointe-Noire.

#DomaineVeto #ProvenderieCertifiee #AlimentationAnimale #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/hero-bg.webp
06 - Pôle Véto : Pharmacie & Chaîne du Froid,À valider,"Domaine VÉTO — Pharmacie vétérinaire sous chaîne du froid rigoureuse.

Un vaccin ou un sérum biologique exposé à la chaleur perd son efficacité en quelques heures. Administrer un vaccin inopérant crée une fausse sécurité et expose l'élevage à des épidémies dévastatrices.

La pharmacie vétérinaire d'Agro Véto Services Congo applique des standards stricts :
- Conservation sous surveillance continue de température avec secours électrique automatique.
- Molécules certifiées provenant directement de laboratoires vétérinaires agréés (antibiotiques, antiparasitaires, vitamines, vaccins aviaires et canins).
- Délivrance sur conseil personnalisé par notre personnel médical vétérinaire.

Protégez votre cheptel en choisissant la qualité et la traçabilité.

Comptoir ouvert 7j/7 : Socoprise, Pointe-Noire.
Contact pharmacie : +242 06 967 75 67 (WhatsApp).

#DomaineVeto #PharmacieVeterinaire #SecuriteSanitaire #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/about-3.webp
07 - Pôle Véto : Équipements de Production & Biosécurité,À valider,"Domaine VÉTO — Équipements zootechniques et matériels d'élevage professionnels.

Le matériel d'élevage conditionne directement l'hygiène de la litière et la réduction du gaspillage d'aliment.

AVS Congo équipe les exploitations agricoles et les élevages de Pointe-Noire en matériel durable et performant :
- Abreuvoirs automatiques siphoïdes et pipettes avec réducteurs de pression.
- Mangeoires suspendues à trémie avec grilles anti-gaspillage.
- Couveuses automatiques et éclosoirs à régulation électronique de température.
- Radiants à gaz et lampes infrarouges pour le chauffage des poussinières.
- Kits complets de biosécurité : pédiluves de sas, pulvérisateurs et désinfectants homologués.

Modernisez vos installations pour gagner du temps et améliorer l'indice de consommation de vos bêtes.

Conseils et devis d'équipement : +242 05 633 70 50.

#DomaineVeto #MaterielElevage #Zootechnie #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/about-2.webp
08 - Pôle Véto : Laboratoire Bromatologique & Autopsies,À valider,"Domaine VÉTO — Laboratoire d'analyses bromatologiques et diagnostic vétérinaire.

Face à une mortalité suspecte ou une baisse soudaine de ponte, traiter sans diagnostic préalable aggrave souvent la situation et engendre des résistances microbiennes.

Le laboratoire zootechnique d'AVS Congo met à la disposition des éleveurs et industriels :
- Autopsies aviaires diagnostiques pour identifier rapidement les lésions pathologiques.
- Analyses parasitologiques et coprologie pour adapter les vermifugations.
- Analyses bromatologiques des matières premières (taux d'humidité, protéines brutes, matières minérales, cendres).
- Détection des moisissures et mycotoxines dans les stocks de maïs et tourteaux.

Faites parler les faits et sécurisez vos décisions d'élevage avec nos bilans de laboratoire.

Dépôt d'échantillons et prélèvements : Socoprise, Rue Bissoute — Pointe-Noire.

#DomaineVeto #LaboratoireBromatologique #AutopsieAviaire #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/qhse-laboratoire.jpg
"09 - Pôle Véto : Santé Canine, Féline & Rage",À valider,"Domaine VÉTO — Médecine préventive canine et féline à Pointe-Noire.

Les animaux de compagnie partagent notre quotidien et méritent une surveillance médicale rigoureuse pour prévenir les zoonoses, ces maladies transmissibles de l'animal à l'homme.

À notre clinique vétérinaire de Socoprise :
- Vaccination essentielle contre la rage, la parvovirose, la maladie de Carré et l'hépatite.
- Protocoles de vermifugation trimestrielle adaptés au poids réel de l'animal.
- Traitements contre les puces et les tiques (vecteurs de la babésiose canine).
- Chirurgies de stérilisation et détartrage.

Protégez votre compagnon et sécurisez votre foyer.

Clinique ouverte 24h/24 & 7j/7.
Standard : +242 05 633 70 50.

#DomaineVeto #SanteCanine #VaccinationRage #CliniqueAVS #PointeNoire",https://agrovetoservices.cg/images/about-4.webp
10 - Pôle Agro : Maraîchage & Cultures Vivrières,À valider,"Domaine AGRO — Productions végétales durables et agronomie de précision.

Le domaine Agro d'AVS Congo œuvre pour le renforcement de la production végétale locale afin de réduire la dépendance alimentaire de nos villes.

Nos activités agronomiques sur le terrain :
- Développement du maraîchage périurbain intensif (tomates, piments, choux, concombres, aubergines, feuilles locales).
- Cultures vivrières et céréalières (maïs pour la provenderie, manioc, soja).
- Sélection de semences améliorées résistantes au stress hydrique et aux ravageurs.
- Plans de fertilisation raisonnée respectant la biologie des sols du littoral et du Kouilou.

Nos ingénieurs agronomes réalisent des visites d'évaluation de parcelles pour les particuliers et les exploitants.

Renseignements agronomiques : +242 05 633 70 50.

#DomaineAgro #MaraichageCongo #AgronomieDurable #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/transformation-agroalimentaire.jpg
11 - Pôle Agro : Systèmes d'Irrigation & Équipements,À valider,"Domaine AGRO — Équipements agricoles et maîtrise de l'eau.

La saison sèche ne doit plus être synonyme d'arrêt de production maraîchère. La maîtrise de l'eau est la clé de voûte d'une exploitation rentable toute l'année.

Agro Véto Services Congo conçoit et installe des solutions d'irrigation modernes adaptées aux parcelles congolaises :
- Systèmes d'irrigation goutte-à-goutte haute précision (économie de 60 % d'eau et fertilisation directe aux racines).
- Réseaux d'aspersion pour pépinières et grandes parcelles vivrières.
- Motopompes thermiques et pompes solaires immergées pour forages et puits.
- Pulvérisateurs professionnels et atomiseurs pour traitements phytosanitaires ciblés.

Faites dimensionner votre réseau d'irrigation par notre pôle technique.

Devis et études : +242 06 967 75 67 (WhatsApp).

#DomaineAgro #IrrigationCongo #GoutteAGoutte #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/hero_agropastoral.webp
12 - Pôle Agro : Transformation Agroalimentaire,À valider,"Domaine AGRO — Transformation agroalimentaire et conservation de denrées.

Chaque saison, des tonnes de légumes et tubercules se perdent au Congo faute de solutions de conservation et de transformation adaptées.

Le pôle agroalimentaire d'AVS Congo développe des méthodes de valorisation post-récolte pour prolonger la durée de vie des produits agricoles locaux :
- Séchage contrôlé et pasteurisation respectant les qualités nutritives.
- Transformation de matières premières locales en farines composées et condiments sains.
- Conditionnement hermétique, traçabilité et étiquetage conforme aux normes d'hygiène.

Transformer localement, c'est valoriser le labeur des producteurs et garantir une alimentation saine pour tous.

Découvrez nos projets de transformation : https://agrovetoservices.cg

#DomaineAgro #TransformationAgroalimentaire #MadeInCongo #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/transformation-agroalimentaire.jpg
13 - Pôle Agro : Bio-Cosmétique & Savonnerie Artisanale,À valider,"Domaine AGRO — Bio-cosmétique naturelle et savons saponifiés à froid.

Le domaine Agro valorise également les richesses végétales du terroir congolais à travers la cosmétique saine et biodégradable.

Dans notre atelier artisanal, nous formulons des savons surgras par saponification à froid (SAF) :
- Utilisation d'huiles végétales pures locales et de beurres végétaux non dénaturés.
- Préservation naturelle de la glycérine hydratante pour les peaux sensibles.
- Zéro parfum synthétique agressif, zéro colorant chimique nocif.
- Gamme de produits d'hygiène et détergents ménagers biodégradables.

Des soins respectueux de la santé dermatologique de votre famille et de l'environnement.

Disponibles au comptoir de Socoprise, Pointe-Noire.

#DomaineAgro #SavonnerieSAF #BioCosmetique #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/savon-artisanal.jpg
14 - Pôle Agro : Artisanat & Éco-Valorisation,À valider,"Domaine AGRO — Artisanat local et valorisation vertueuse des biodéchets.

L'agrobusiness moderne s'inscrit dans les principes de l'économie circulaire où chaque sous-produit devient une ressource.

Au sein de notre pôle Agro :
- Valorisation des biodéchets d'élevage et résidus végétaux en compost riche pour les sols maraîchers.
- Transformation artisanale de fibres et matières végétales locales pour l'emballage écologique.
- Réduction de l'empreinte plastique dans la chaîne de distribution de nos produits.

Une démarche responsable qui conjugue innovation locale et respect de notre environnement.

#DomaineAgro #EconomieCirculaire #ValorisationLocale #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/hero-bg.webp
15 - Pôle Services : Management QHSE & « QHSE Partagé »,À valider,"Domaine SERVICES — Management QHSE et la formule innovante « QHSE Partagé ».

Pour une PME, une entreprise agroalimentaire ou une société de services, recruter un responsable Qualité, Hygiène, Sécurité et Environnement à temps plein représente une charge financière lourde.

Agro Véto Services Congo propose une solution pionnière à Pointe-Noire : la formule du « QHSE Partagé ».

Le principe :
Un expert QHSE chevronné d'AVS Congo intervient dans votre entreprise à temps choisi (quelques jours par mois ou par trimestre) pour :
- Mettre en place et auditer votre système de management qualité selon les normes ISO 9001, ISO 14001 et ISO 45001.
- Rédiger vos procédures d'hygiène, plans de prévention et dossiers de conformité réglementaire.
- Former vos équipes sur site à la sécurité au travail et aux bonnes pratiques.
- Réduire vos coûts fixes tout en garantissant un niveau d'exigence international.

Faites monter votre entreprise en gamme.
Contactez le pôle QHSE : +242 05 633 70 50.

#DomaineServices #ManagementQHSE #QHSEPartage #ISO9001 #PointeNoire #AVSCongo",https://agrovetoservices.cg/images/qhse-laboratoire.jpg
